style_label,count,accuracy,precision,recall,f1,roc_auc
Art_Nouveau,200,0.99,0.9803921568627451,1.0,0.9900990099009901,1.0
Baroque,200,0.995,1.0,0.99,0.9949748743718593,1.0
Expressionism,200,0.995,0.9900990099009901,1.0,0.9950248756218906,1.0
Impressionism,200,0.99,0.99,0.99,0.99,0.9998
Post_Impressionism,200,0.985,0.9801980198019802,0.99,0.9850746268656716,0.9993
Realism,200,0.99,1.0,0.98,0.98989898989899,0.9994999999999999
Renaissance,200,0.995,1.0,0.99,0.9949748743718593,1.0
Romanticism,200,0.99,0.99,0.99,0.99,0.9998
Surrealism,200,0.97,0.9895833333333334,0.95,0.9693877551020408,0.9939
Ukiyo_e,200,1.0,1.0,1.0,1.0,1.0
